,PrecioActual,metros,habitaciones,ascensor,localizacion,plantaN,zona_id,tipo_inmueble_id
0,355000,69,2.0,1,1,5.0,8,5
1,149000,91,3.0,0,1,1.0,4,5
2,195000,36,1.0,1,1,2.0,5,5
3,195000,58,1.0,1,0,0.0,18,5
4,715000,140,3.0,1,1,2.0,17,3
5,1257000,135,3.0,1,1,3.0,1,5
6,830000,81,1.0,1,0,6.0,3,5
7,70000,43,1.0,0,1,1.0,14,5
8,2150000,500,6.0,0,1,0.0,12,2
9,1847800,139,2.0,1,1,3.0,7,5
10,509000,90,3.0,1,1,1.0,1,5
11,1985000,375,5.0,0,1,0.0,6,2
12,275000,80,2.0,1,1,2.0,18,5
13,1789000,152,2.0,1,0,2.0,3,5
14,380000,67,1.0,1,1,1.0,3,5
15,220000,76,3.0,0,1,2.0,14,5
16,145000,58,2.0,0,1,1.0,21,5
17,3600000,379,5.0,1,1,3.0,3,5
18,330000,92,2.0,0,1,0.0,9,5
19,1295000,124,3.0,1,1,3.0,15,5
20,1200000,130,3.0,1,1,4.0,7,5
21,152000,55,2.0,0,1,0.0,13,5
22,1020000,110,2.0,1,1,3.0,3,5
23,519000,99,3.0,1,1,1.0,6,5
24,1300000,240,4.0,1,1,2.0,12,6
25,800000,114,2.0,1,0,2.0,5,5
26,159000,59,2.0,0,0,1.0,4,5
27,995000,158,4.0,1,1,16.0,8,5
28,550000,80,1.0,1,1,13.0,6,5
29,210000,41,1.0,1,1,0.0,17,5
30,1150000,196,4.0,1,1,2.0,5,5
31,887315,279,4.0,0,1,0.0,12,2
32,1329000,135,2.0,1,1,1.0,3,5
33,529000,87,3.0,0,1,2.0,5,5
34,2990000,308,5.0,1,1,4.0,3,5
35,1390000,110,2.0,1,1,9.0,7,6
36,136000,68,1.0,0,1,3.0,10,5
37,600000,105,3.0,1,1,3.0,10,5
38,6000000,380,5.0,1,1,4.0,3,5
39,2619000,219,4.0,1,1,4.0,3,5
41,375000,63,1.0,1,0,7.0,1,5
43,180000,47,2.0,0,1,1.0,11,5
44,571850,93,1.0,1,1,0.0,12,5
45,146990,72,2.0,1,1,2.0,4,5
46,545000,90,3.0,1,1,2.0,17,5
48,440000,82,1.0,1,1,4.0,5,6
49,595000,132,3.0,1,1,5.0,5,3
50,228000,36,2.0,0,0,4.0,17,5
51,520000,57,1.0,1,1,1.0,12,5
52,360000,78,2.0,1,1,10.0,4,6
53,1565970,162,3.0,1,1,5.0,7,5
54,1789000,152,2.0,1,0,2.0,3,5
55,923100,182,4.0,1,1,2.0,10,5
57,2300000,265,5.0,1,1,6.0,6,5
58,230000,68,3.0,0,1,0.0,8,5
59,1100000,136,3.0,1,1,0.0,15,5
60,545000,89,2.0,1,0,1.0,17,5
61,3000000,200,3.0,1,1,4.0,3,5
62,2650000,368,4.0,1,1,6.0,6,5
63,360000,45,1.0,1,0,1.0,5,5
64,550000,138,3.0,1,1,0.0,9,5
65,420000,56,1.0,1,1,6.0,7,5
66,730000,80,2.0,1,1,4.0,7,5
67,270000,83,3.0,0,1,4.0,17,5
68,3800000,420,3.0,1,1,3.0,6,6
70,291400,100,4.0,1,1,0.0,4,5
71,1079000,128,3.0,1,1,2.0,5,5
72,1849000,157,3.0,1,1,2.0,3,5
73,315000,70,1.0,1,1,0.0,2,5
74,1695000,113,3.0,1,1,5.0,3,5
75,830000,108,2.0,1,1,3.0,5,5
76,574000,88,2.0,1,1,1.0,10,5
77,622000,89,2.0,0,1,1.0,9,5
78,270000,115,3.0,0,1,2.0,14,5
79,546000,137,3.0,1,1,8.0,20,6
80,235000,95,1.0,0,1,1.0,20,5
81,350000,92,2.0,1,1,0.0,4,5
82,825000,175,3.0,1,1,1.0,15,5
83,2875000,434,6.0,1,1,10.0,17,3
84,119500,63,3.0,0,1,3.0,17,5
85,418000,74,2.0,1,1,1.0,18,5
86,950000,78,2.0,1,1,6.0,7,6
87,455000,87,2.0,1,1,6.0,20,6
88,599900,97,2.0,1,1,0.0,3,5
89,129000,60,2.0,0,1,1.0,16,5
90,520000,84,1.0,1,1,5.0,5,6
91,256400,66,1.0,1,1,1.0,1,5
92,1395000,100,3.0,1,1,4.0,3,5
93,639000,80,1.0,1,1,3.0,3,6
94,550000,131,2.0,1,1,1.0,10,5
95,2200000,170,3.0,1,1,8.0,3,6
96,218000,72,3.0,0,1,1.0,4,5
97,395000,41,1.0,1,0,2.0,5,5
98,540000,121,3.0,1,1,3.0,2,5
99,2100000,131,3.0,1,1,6.0,15,3
100,810431,75,1.0,1,1,5.0,7,5
101,1823000,278,9.0,1,1,2.0,5,5
102,225000,69,2.0,0,1,3.0,18,5
103,969000,165,5.0,1,1,6.0,3,5
104,152000,63,2.0,0,1,1.0,4,5
105,230000,75,3.0,1,1,0.0,4,5
106,895300,119,2.0,1,1,2.0,10,5
107,399000,62,1.0,1,1,2.0,5,5
108,1198500,244,4.0,1,1,6.0,9,6
109,200000,75,3.0,0,1,2.0,21,5
110,1720000,175,2.0,1,1,1.0,3,5
111,220000,106,3.0,1,1,1.0,21,5
112,500000,110,3.0,1,1,1.0,5,5
113,525000,63,2.0,1,1,1.0,7,5
114,1240000,601,9.0,0,1,0.0,9,1
115,315000,80,2.0,1,1,1.0,4,5
116,680000,196,4.0,0,1,0.0,11,2
117,1695000,492,5.0,0,1,0.0,9,2
118,1335000,291,3.0,1,1,2.0,12,5
119,696000,104,4.0,0,1,2.0,5,5
120,310000,50,1.0,0,1,2.0,1,5
121,1565000,237,4.0,1,1,4.0,15,5
123,1250000,232,4.0,1,1,1.0,1,5
124,365000,56,1.0,1,1,1.0,6,6
125,447000,84,2.0,0,1,1.0,1,5
126,360000,40,1.0,0,1,5.0,7,6
127,280000,100,3.0,0,1,0.0,14,2
128,349000,45,1.0,1,1,1.0,5,5
129,385000,76,3.0,1,1,2.0,17,5
130,249000,59,2.0,1,1,1.0,8,5
131,398000,86,3.0,1,1,1.0,17,5
132,650000,93,3.0,1,0,1.0,7,5
133,1000000,125,3.0,1,1,2.0,5,5
134,260000,42,1.0,1,0,1.0,15,5
135,777000,136,3.0,1,1,3.0,10,5
136,1100000,162,4.0,1,1,2.0,7,5
137,420000,142,3.0,1,1,2.0,4,5
139,189000,98,2.0,1,1,1.0,20,5
140,299000,98,5.0,0,1,0.0,11,5
141,119000,65,2.0,0,1,0.0,4,5
142,929680,185,4.0,1,1,2.0,10,5
143,1050000,199,3.0,1,1,0.0,15,5
144,3600000,236,4.0,1,1,1.0,15,5
145,420000,117,2.0,1,1,7.0,16,6
146,81100,60,3.0,0,1,1.0,14,5
147,310000,40,2.0,1,0,4.0,15,5
148,1850000,390,7.0,0,1,0.0,10,1
149,221200,85,3.0,1,1,4.0,21,5
150,151000,70,2.0,0,1,0.0,21,5
151,335000,34,1.0,1,1,0.0,5,5
152,2100000,275,5.0,1,1,5.0,6,5
153,195000,95,1.0,1,1,0.0,4,3
154,230000,113,4.0,1,1,3.0,4,5
155,3190000,325,5.0,1,1,7.0,6,6
156,1750000,208,4.0,1,1,4.0,3,5
157,249900,67,1.0,1,1,1.0,10,5
158,630000,118,2.0,1,1,4.0,2,3
159,395000,80,2.0,1,1,0.0,3,5
161,183800,64,1.0,1,1,1.0,4,5
162,86000,54,2.0,0,1,1.0,16,5
163,235000,60,2.0,0,1,1.0,14,5
164,2630000,306,5.0,1,1,4.0,3,5
165,830000,101,2.0,1,1,3.0,5,5
166,265000,55,1.0,1,0,0.0,5,5
167,474000,114,3.0,1,1,0.0,19,5
168,241000,75,2.0,0,1,4.0,17,5
169,1177000,196,4.0,1,1,5.0,1,5
170,159000,70,3.0,0,1,1.0,14,5
172,820000,83,3.0,0,1,3.0,7,5
173,459900,85,2.0,1,1,4.0,8,5
174,940000,65,1.0,1,1,3.0,6,5
175,756000,133,4.0,1,0,5.0,7,5
176,538450,220,6.0,0,1,0.0,11,2
177,1250000,106,2.0,1,1,4.0,3,5
178,175000,64,3.0,0,1,0.0,14,5
179,286000,40,1.0,1,0,0.0,5,3
180,1420000,171,2.0,1,1,2.0,12,5
181,174000,44,1.0,1,1,0.0,13,5
182,179500,67,2.0,1,1,2.0,4,5
183,1790000,261,3.0,1,1,13.0,8,6
184,456900,105,3.0,1,1,6.0,19,5
185,690000,159,6.0,1,1,0.0,12,5
186,140000,69,2.0,0,1,4.0,4,5
187,1600000,155,5.0,1,1,3.0,3,5
188,1325000,146,4.0,1,1,7.0,7,5
189,195000,80,1.0,1,0,0.0,20,3
190,295000,35,2.0,1,0,2.0,1,5
191,780000,125,2.0,1,1,1.0,5,5
193,780000,121,3.0,1,0,4.0,15,5
194,1735000,164,3.0,1,1,5.0,3,5
195,126800,53,1.0,1,0,10.0,9,5
196,3600000,379,5.0,1,1,1.0,3,5
197,545000,112,3.0,1,1,1.0,5,5
198,855000,251,5.0,1,1,1.0,10,5
199,1450000,340,5.0,1,1,2.0,12,3
200,550000,115,3.0,1,1,1.0,3,5
201,1595000,305,5.0,0,1,0.0,10,2
202,290000,85,3.0,1,1,1.0,8,5
203,795000,121,2.0,1,1,2.0,12,5
204,1300000,120,3.0,1,1,3.0,3,5
205,1990000,235,5.0,1,1,2.0,5,5
206,315000,35,1.0,0,1,4.0,5,5
207,2469000,223,4.0,1,1,1.0,3,5
208,820000,157,3.0,1,1,5.0,4,5
209,298000,62,1.0,1,1,7.0,20,6
210,725000,113,3.0,0,1,5.0,5,5
211,3750000,237,4.0,1,1,1.0,3,5
212,279000,49,3.0,0,0,6.0,5,6
213,3400000,386,4.0,1,1,5.0,7,5
214,660000,85,2.0,0,1,4.0,5,5
215,1150000,216,5.0,1,1,1.0,3,5
216,179000,46,1.0,1,0,11.0,18,5
217,299000,123,4.0,1,1,2.0,17,5
218,530000,120,3.0,1,1,10.0,4,5
219,649000,99,2.0,1,1,1.0,9,5
221,93400,62,3.0,1,1,1.0,21,5
222,185000,55,2.0,0,1,0.0,4,5
223,650000,150,3.0,1,1,3.0,9,5
224,1580000,175,2.0,1,1,0.0,6,5
225,3800000,578,7.0,0,1,0.0,6,1
226,755000,74,2.0,1,1,4.0,16,5
227,649000,92,3.0,1,1,1.0,12,5
228,349000,42,1.0,1,1,1.0,5,5
229,275000,70,2.0,1,1,0.0,10,3
230,1450000,346,5.0,1,1,4.0,9,6
231,102000,77,3.0,0,1,1.0,11,5
232,349900,96,3.0,1,1,1.0,4,5
233,420000,103,3.0,0,1,3.0,11,5
235,252000,55,2.0,0,1,0.0,18,5
